feedback_id,student_id,target_id,feedback,response
FB001,S001,T001,Good,Thank you for your feedback!
FB002,S001,C001,None,None
FB003,S002,General,Feedback received,We appreciate your input and will consider it.
FB004,S003,T002,Great teaching style,Thank you! I strive to make lessons engaging.
FB005,S004,C002,Course material needs improvement,We'll review and improve the materials.
FB006,S002,General,More extracurricular activities,We'll explore new activities for students.
FB007,S005,T003,Explains concepts clearly,Glad to hear that! Let me know if you have questions.
FB008,S006,C003,Very helpful course,Happy to know you found it useful!
FB009,S007,T001,Needs to engage students more,I'll work on making lessons more interactive.
FB010,S008,C001,Too many assignments,We'll try to balance the workload better.
FB011,S009,General,Better library facilities,We'll discuss this with the administration.
FB012,S010,T004,Appreciate the extra guidance,You're welcome! Always happy to help.
FB013,S011,C002,Lectures are too fast,I'll slow down and ensure everyone understands.
FB014,S012,General,More online resources,We'll work on adding more digital materials.
FB015,S013,T005,Interactive and fun lessons,Glad you're enjoying the lessons!
